Time, Valve, Pump Dir, Pump Time, Measure Time, Purge Time, Notes
2020/8/1 15:34:29, 7, Forward, 52, 120, 15, Automatic
2020/8/1 15:37:21, 8, Reverse, 52, 120, 15, Automatic
2020/8/1 15:37:37, 9, Forward, 7, 20, 15, Automatic
2020/8/1 15:38:04, 9, Reverse, 7, 20, 15, Automatic
2020/8/1 15:44:14, 12, Forward, 20, 5, 15, Automatic
2020/8/1 15:44:39, 12, Reverse, 20, 5, 15, Automatic
2020/8/1 15:44:55, 10, Forward, 10, 120, 5, Automatic
2020/8/1 15:47:05, 10, Reverse, 10, 120, 5, Automatic
2020/8/1 15:53:59, 1, Forward, 30, 120, 15, Automatic
2020/8/1 15:56:29, 8, Reverse, 30, 120, 15, Automatic
2020/8/1 15:56:45, 10, Forward, 1, 1, 1, Automatic
2020/8/1 15:56:47, 10, Reverse, 1, 1, 1, Automatic
2020/8/1 16:03:44, 2, Forward, 35, 120, 15, Automatic
2020/8/1 16:06:19, 8, Reverse, 35, 120, 15, Automatic
2020/8/1 16:06:35, 10, Forward, 1, 1, 1, Automatic
2020/8/1 16:06:37, 10, Reverse, 1, 1, 1, Automatic
2020/8/1 16:13:29, 3, Forward, 40, 120, 15, Automatic
2020/8/1 16:16:09, 8, Reverse, 40, 120, 15, Automatic
2020/8/1 16:16:25, 12, Forward, 12, 5, 15, Automatic
2020/8/1 16:16:42, 12, Reverse, 12, 5, 15, Automatic
