"TOA5","CR3000","CR3000","10344","CR3000.Std.32.02","CPU:CR3000_6Sensors_21MAY18.CR3","18979","stats"
"TIMESTAMP","RECORD","AirTC_mean","e_hmp_mean","RH_mean","t_dew_hmp_mean","duty_cycle"
"TS","RN","C","kPa","percent","C",""
"","","Smp","Smp","Smp","Smp","Smp"
"2018-06-04 16:41:00",20369,26.8078,1.099557,31.19559,8.379801,1
"2018-06-04 16:42:00",20370,26.91264,1.129922,31.85978,8.782007,1
"2018-06-04 16:43:00",20371,26.92193,1.160876,32.71457,9.182421,1
"2018-06-04 16:44:00",20372,26.7597,1.116899,31.7773,8.610754,1
"2018-06-04 16:45:00",20373,26.84965,1.189242,33.65721,9.541499,1
"2018-06-04 16:46:00",20374,26.92301,1.117443,31.48921,8.618039,1
"2018-06-04 16:47:00",20375,26.89802,1.138527,32.13035,8.894456,1
"2018-06-04 16:48:00",20376,26.96663,1.236272,34.74856,10.1201,1
"2018-06-04 16:49:00",20377,26.89446,1.187715,33.52554,9.522363,1
"2018-06-04 16:50:00",20378,27.02516,1.238227,34.68343,10.14345,1
"2018-06-04 16:51:00",20379,27.12916,1.264086,35.19246,10.45299,1
"2018-06-04 16:52:00",20380,26.80849,1.168874,33.16069,9.284535,1
"2018-06-04 16:53:00",20381,26.84754,1.206314,34.14462,9.753837,1
"2018-06-04 16:54:00",20382,26.71002,1.112746,31.75179,8.555717,1
"2018-06-04 16:55:00",20383,26.77972,1.122957,31.9122,8.690767,1
"2018-06-04 16:56:00",20384,26.88699,1.154747,32.60911,9.104053,1
"2018-06-04 16:57:00",20385,26.90032,1.19227,33.6425,9.579329,1
"2018-06-04 16:58:00",20386,26.80161,1.154715,32.77232,9.103667,1
"2018-06-04 16:59:00",20387,26.77724,1.147593,32.61694,9.011947,1
"2018-06-04 17:00:00",20388,27.02813,1.125718,31.527,8.727012,1
"2018-06-04 17:01:00",20389,26.99624,1.125583,31.58236,8.725272,1
"2018-06-04 17:02:00",20390,26.83002,1.20501,34.14234,9.737486,1
"2018-06-04 17:03:00",20391,26.76602,1.119697,31.84507,8.647723,1
"2018-06-04 17:04:00",20392,26.62605,1.103664,31.64865,8.434739,1
"2018-06-04 17:05:00",20393,26.73094,1.10119,31.38356,8.401731,1
"2018-06-04 17:06:00",20394,26.625,1.353441,38.8137,11.48134,1
"2018-06-04 17:07:00",20395,26.40165,1.112603,32.32986,8.55389,1
"2018-06-04 17:08:00",20396,26.53916,1.082504,31.20099,8.149385,1
"2018-06-04 17:09:00",20397,26.57777,1.077488,30.98598,8.081097,1
"2018-06-04 17:10:00",20398,26.66448,1.069838,30.60944,7.976387,1
"2018-06-04 17:11:00",20399,26.48925,1.036136,29.95258,7.506669,1
"2018-06-04 17:12:00",20400,26.47092,1.016479,29.41634,7.22661,1
"2018-06-04 17:13:00",20401,26.50755,1.011963,29.22203,7.161336,1
"2018-06-04 17:14:00",20402,26.59315,1.015615,29.18019,7.214069,1
"2018-06-04 17:15:00",20403,26.62483,0.9869466,28.30385,6.796532,1
"2018-06-04 17:16:00",20404,26.66509,1.033939,29.58111,7.475595,1
"2018-06-04 17:17:00",20405,26.77721,1.03792,29.49999,7.531981,1
"2018-06-04 17:18:00",20406,26.72995,1.0654,30.36516,7.915254,1
"2018-06-04 17:19:00",20407,26.62073,1.026639,29.4493,7.372018,1
"2018-06-04 17:20:00",20408,26.65627,1.083216,31.00682,8.15902,1
"2018-06-04 17:21:00",20409,26.57854,1.053203,30.28608,7.74609,1
"2018-06-04 17:22:00",20410,26.65379,1.083176,31.01066,8.15869,1
"2018-06-04 17:23:00",20411,26.85781,1.023912,28.96341,7.332681,1
"2018-06-04 17:24:00",20412,27.06431,1.09951,30.72775,8.379176,1
"2018-06-04 17:25:00",20413,26.92773,1.123405,31.64815,8.696544,1
"2018-06-04 17:26:00",20414,26.7652,1.056856,30.05939,7.797075,1
"2018-06-04 17:27:00",20415,26.79153,1.040496,29.54791,7.5681,1
"2018-06-04 17:28:00",20416,26.9905,1.132463,31.7857,8.815225,1
"2018-06-04 17:29:00",20417,27.25272,1.093659,30.2284,8.300516,1
"2018-06-04 17:30:00",20418,27.06182,1.033577,28.88819,7.469948,1
"2018-06-04 17:31:00",20419,26.68666,1.036184,29.60779,7.507384,1
"2018-06-04 17:32:00",20420,26.67716,1.038664,29.69536,7.542452,1
"2018-06-04 17:33:00",20421,26.59032,0.9645208,27.71663,6.462115,1
"2018-06-04 17:34:00",20422,26.63321,1.080367,30.96768,8.120447,1
"2018-06-04 17:35:00",20423,26.69512,1.109426,31.68493,8.511647,1
"2018-06-04 17:36:00",20424,26.70405,1.031944,29.45665,7.447437,1
"2018-06-04 17:37:00",20425,26.66104,1.036171,29.65215,7.507227,1
"2018-06-04 17:38:00",20426,26.69734,1.017137,29.04547,7.236077,1
"2018-06-04 17:39:00",20427,26.67557,1.023173,29.25506,7.32245,1
"2018-06-04 17:40:00",20428,26.74982,0.9947504,28.31846,6.911206,1
"2018-06-04 17:41:00",20429,26.86405,1.022449,28.91225,7.312191,1
"2018-06-04 17:42:00",20430,26.94664,1.046765,29.45624,7.656169,1
"2018-06-04 17:43:00",20431,26.89643,1.131528,31.93539,8.802987,1
"2018-06-04 17:44:00",20432,26.80512,1.101863,31.26596,8.410714,1
"2018-06-04 17:45:00",20433,26.68952,1.027435,29.35292,7.383307,1
"2018-06-04 17:46:00",20434,26.60434,0.992892,28.50862,6.883962,1
"2018-06-04 17:47:00",20435,26.70811,1.030069,29.39595,7.420742,1
"2018-06-04 17:48:00",20436,26.68265,1.107591,31.65571,8.487202,1
"2018-06-04 17:49:00",20437,26.44193,1.068151,30.96443,7.953151,1
"2018-06-04 17:50:00",20438,26.39858,0.9855582,28.64343,6.776051,1
"2018-06-04 17:51:00",20439,26.58275,0.9914868,28.50454,6.863348,1
"2018-06-04 17:52:00",20440,26.57456,1.012699,29.12836,7.172106,1
"2018-06-04 17:53:00",20441,26.72943,0.9912844,28.25378,6.860413,1
"2018-06-04 17:54:00",20442,26.76855,1.013898,28.83189,7.189455,1
"2018-06-04 17:55:00",20443,26.51111,1.02413,29.56686,7.335841,1
"2018-06-04 17:56:00",20444,26.31034,1.039207,30.36017,7.55008,1
"2018-06-04 17:57:00",20445,26.2387,1.027106,30.13376,7.378582,1
"2018-06-04 17:58:00",20446,26.30486,1.070628,31.28827,7.987221,1
"2018-06-04 17:59:00",20447,26.3029,1.032733,30.18399,7.458421,1
"2018-06-04 18:00:00",20448,26.3004,1.020855,29.84165,7.289395,1
"2018-06-04 18:01:00",20449,26.42996,1.068592,30.99906,7.959213,1
"2018-06-04 18:02:00",20450,26.35011,1.088354,31.72146,8.22885,1
"2018-06-04 18:03:00",20451,26.32912,1.06749,31.152,7.944117,1
"2018-06-04 18:04:00",20452,26.2777,0.9954578,29.1381,6.921565,1
"2018-06-04 18:05:00",20453,26.23934,1.021206,29.95973,7.294429,1
"2018-06-04 18:06:00",20454,26.25397,1.023686,30.00631,7.329773,1
"2018-06-04 18:07:00",20455,26.43039,1.050199,30.46476,7.704306,1
"2018-06-04 18:08:00",20456,26.48045,1.113052,32.19304,8.559866,1
"2018-06-04 18:09:00",20457,26.26833,1.157037,33.88643,9.133465,1
"2018-06-04 18:10:00",20458,26.14578,1.349491,39.81009,11.4372,1
"2018-06-04 18:11:00",20459,26.08291,1.340237,39.68416,11.33322,1
"2018-06-04 18:12:00",20460,26.062,1.081757,32.06966,8.139022,1
"2018-06-04 18:13:00",20461,26.28118,1.18091,34.55954,9.436898,1
"2018-06-04 18:14:00",20462,26.2478,1.136936,33.33814,8.873745,1
"2018-06-04 18:15:00",20463,26.24109,1.177415,34.5389,9.392817,1
"2018-06-04 18:16:00",20464,26.26593,1.225282,35.89005,9.986517,1
"2018-06-04 18:17:00",20465,26.27162,1.224803,35.86414,9.980748,1
"2018-06-04 18:18:00",20466,26.25581,1.110794,32.55618,8.529806,1
"2018-06-04 18:19:00",20467,26.43287,1.116302,32.37698,8.602591,1
"2018-06-04 18:20:00",20468,26.57982,1.149531,33.05387,9.036961,1
"2018-06-04 18:21:00",20469,26.63836,1.27675,36.58541,10.60264,1
"2018-06-04 18:22:00",20470,26.47514,1.229059,35.55895,10.03244,1
"2018-06-04 18:23:00",20471,26.62522,1.202567,34.48668,9.707463,1
"2018-06-04 18:24:00",20472,26.68394,1.362239,38.93055,11.57926,1
"2018-06-04 18:25:00",20473,26.42393,1.29816,37.67192,10.85252,1
"2018-06-04 18:26:00",20474,26.30538,1.150518,33.62192,9.049683,1
"2018-06-04 18:27:00",20475,26.43467,1.246406,36.14709,10.24209,1
"2018-06-04 18:28:00",20476,26.00005,1.327679,39.50331,11.19036,1
"2018-06-04 18:29:00",20477,25.72149,1.110834,33.60309,8.530362,1
"2018-06-04 18:30:00",20478,25.99884,1.07377,31.95161,8.029801,1
"2018-06-04 18:31:00",20479,26.24221,1.177767,34.54685,9.397224,1
"2018-06-04 18:32:00",20480,26.25447,1.234417,36.18239,10.09764,1
"2018-06-04 18:33:00",20481,26.12189,1.140524,33.693,8.920377,1
"2018-06-04 18:34:00",20482,26.18252,1.235989,36.38285,10.11671,1
"2018-06-04 18:35:00",20483,25.77315,1.245814,37.57003,10.23469,1
"2018-06-04 18:36:00",20484,25.83673,1.347462,40.4836,11.41441,1
"2018-06-04 18:37:00",20485,25.93317,1.3341,39.85393,11.26396,1
"2018-06-04 18:38:00",20486,26.11195,1.610661,47.60963,14.13884,1
